perfil,velocidade_kmh,frequencia_ghz,erro_estimativa,guard_band_sigma,tempo_coerencia_ms,freq_doppler_hz,correlacao_temporal,snr_db,ber,kdr
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,1.0,19.491338582677166,34.48661417322835
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,3.0,14.363779527559055,31.548818897637794
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,5.0,10.236220472440944,22.911023622047246
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,7.0,7.048031496062992,8.611023622047243
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,9.0,4.699212598425197,1.3385826771653544
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,11.0,3.1228346456692915,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,13.0,1.9244094488188976,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,15.0,1.2850393700787401,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,17.0,0.8133858267716535,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,19.0,0.49133858267716535,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,21.0,0.32440944881889766,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,23.0,0.2141732283464567,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,25.0,0.1188976377952756,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-5.0,37.93779527559055,44.02913385826772
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-3.0,33.2496062992126,41.39291338582677
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-1.0,27.88503937007874,38.86614173228347
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,1.0,22.30708661417323,35.78897637795276
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,3.0,16.792913385826772,33.0259842519685
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,5.0,11.890551181102362,28.258267716535432
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,7.0,8.403149606299213,14.525196850393701
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,9.0,5.519685039370079,2.4874015748031497
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,11.0,3.7007874015748032,0.33385826771653543
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,13.0,2.3338582677165354,0.030708661417322834
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,15.0,1.5291338582677165,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,17.0,0.9803149606299213,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,19.0,0.5921259842519685,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,21.0,0.4330708661417323,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,23.0,0.2503937007874016,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,25.0,0.14330708661417324,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,-5.0,37.318897637795274,43.496062992125985
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,-3.0,32.45984251968504,41.20472440944882
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,-1.0,27.137795275590552,38.2748031496063
