perfil,velocidade_kmh,frequencia_ghz,erro_estimativa,guard_band_sigma,tempo_coerencia_ms,freq_doppler_hz,correlacao_temporal,snr_db,bmr,kdr
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,13.0,2.0125984251968503,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,15.0,1.2850393700787401,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,17.0,0.7984251968503937,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,19.0,0.5031496062992126,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,21.0,0.33937007874015745,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,23.0,0.1858267716535433,0.0
sensor_estatico,0.0,0.868,0.08,0.7,inf,0.0,1.0,25.0,0.14645669291338584,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-5.0,37.991338582677166,44.140944881889766
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-3.0,33.40157480314961,41.656692913385825
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,-1.0,27.700787401574804,38.77007874015748
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,1.0,22.276377952755904,35.98976377952756
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,3.0,16.827559055118112,33.23622047244095
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,5.0,11.907874015748032,28.006299212598424
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,7.0,8.370866141732284,15.307086614173228
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,9.0,5.520472440944882,2.544094488188976
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,11.0,3.648031496062992,0.18346456692913385
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,13.0,2.2574803149606297,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,15.0,1.4614173228346456,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,17.0,0.9622047244094488,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,19.0,0.6330708661417322,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,21.0,0.3779527559055118,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,23.0,0.2606299212598425,0.0
veiculo_urbano,60.0,5.9,0.25,0.3,0.5462521351882847,327.7777777777778,0.16030829726210172,25.0,0.15984251968503937,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,-5.0,37.29055118110236,43.48425196850393
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,-3.0,32.608661417322836,41.370866141732286
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,-1.0,26.930708661417324,38.25196850393701
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,1.0,21.628346456692913,35.71889763779527
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,3.0,16.266141732283465,32.99055118110236
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,5.0,11.661417322834646,27.740944881889764
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,7.0,8.077165354330708,13.921259842519685
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,9.0,5.532283464566929,2.5559055118110234
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,11.0,3.616535433070866,0.32598425196850395
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,13.0,2.3244094488188978,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,15.0,1.4724409448818898,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,17.0,0.984251968503937,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,19.0,0.6007874015748031,0.0
drone,40.0,2.4,0.3,0.35,2.0143047485068006,88.88888888888889,0.6086881511770079,21.0,0.39291338582677166,0.0
